"Currency","Rate"
"AED",3.673
"AFN",76.899997
"ALL",104.85
"AMD",481.616228
"ANG",1.794806
"AOA",658.325
"ARS",78.2487
"AUD",1.404251
"AWG",1.8
"AZN",1.7025
"BAM",1.65435
"BBD",2
"BDT",84.72744
"BGN",1.6543
"BHD",0.377052
"BIF",1936
"BMD",1
"BND",1.360463
"BOB",6.904406
"BRL",5.62135
"BSD",1
"BTC",7.7725514e-05
"BTN",73.985349
"BWP",11.388502
"BYN",2.542113
"BZD",2.00483
"CAD",1.321255
"CDF",1960
"CHF",0.907189
"CLF",0.028123
"CLP",776
"CNH",6.704785
"CNY",6.7122
"COP",3814.41
"CRC",603.868588
"CUC",0.999793
"CUP",25.75
"CVE",93.63
"CZK",23.093999
"DJF",178.008789
"DKK",6.297
"DOP",58.4
"DZD",128.705847
"EGP",15.6993
"ERN",15.000453
"ETB",37.45
"EUR",0.846328
"FJD",2.13
"FKP",0.767861
"GBP",0.767861
"GEL",3.225
"GGP",0.767861
"GHS",5.83
"GIP",0.767861
"GMD",51.75
"GNF",9775
"GTQ",7.779267
"GYD",209.136051
"HKD",7.75025
"HNL",24.5
"HRK",6.414334
"HTG",62.694275
"HUF",309.014779
"IDR",14655.665415
"ILS",3.39101
"IMP",0.767861
"INR",73.968562
"IQD",1191.5
"IRR",42105.725176
"ISK",139.66
"JEP",0.767861
"JMD",146.017132
"JOD",0.709
"JPY",104.8655
"KES",108.850849
"KGS",80.665193
"KHR",4075
"KMF",416.950166
"KPW",900
"KRW",1133.08
"KWD",0.305586
"KYD",0.83333
"KZT",429.800897
"LAK",9257
"LBP",1518
"LKR",184.333553
"LRD",191.250065
"LSL",16.25
"LYD",1.36
"MAD",9.1625
"MDL",16.954995
"MGA",3925
"MKD",52.139442
"MMK",1286.887643
"MNT",2846.257706
"MOP",7.981764
"MRO",357
"MRU",37
"MUR",39.85
"MVR",15.41
"MWK",756
"MXN",20.98683
"MYR",4.1655
"MZN",72.850017
"NAD",16.25
"NGN",381
"NIO",34.73
"NOK",9.2473
"NPR",118.376484
"NZD",1.497275
"OMR",0.384999
"PAB",1
"PEN",3.6025
"PGK",3.505
"PHP",48.398552
"PKR",161.15
"PLN",3.876241
"PYG",7039.457593
"QAR",3.641
"RON",4.1242
"RSD",99.52
"RUB",76.46775
"RWF",975.5
"SAR",3.750349
"SBD",8.09052
"SCR",19.281113
"SDG",55.275
"SEK",8.747831
"SGD",1.361192
"SHP",0.767861
"SLL",9964.2252
"SOS",583
"SRD",14.154
"SSP",130.26
"STD",20919.263213
"STN",20.875
"SVC",8.749529
"SYP",512.619944
"SZL",16.25
"THB",31.2765
"TJS",10.334068
"TMT",3.51
"TND",2.7445
"TOP",2.313288
"TRY",8.084295
"TTD",6.786411
"TWD",28.6215
"TZS",2318.806016
"UAH",28.335243
"UGX",3732.690737
"USD",1
"UYU",42.677095
"UZS",10355
"VEF",248487.642241
"VES",461866.864013
"VND",23185.287693
"VUV",113.387746
"WST",2.629873
"XAF",555.154772
"XAG",0.04113198
"XAU",0.00052559
"XCD",2.70255
"XDR",0.706743
"XOF",555.154772
"XPD",0.00042338
"XPF",100.993794
"XPT",0.00114483
"YER",250.399984
"ZAR",16.236555
"ZMW",20.306877
"ZWL",322
